date,TICKER,PRC,RET,SHROUT,MV_USD,MV_USD_lag
2021-09-30,ANET,343.64001,-0.070062,76717.0,26363030.64717,28349233.01
2021-10-29,ANET,409.69,0.192207,76717.0,31430187.73,26363030.64717
2021-11-30,ANET,124.06,0.211257,307284.0,38121653.04,31430187.73
2021-12-31,ANET,143.75,0.158714,307284.0,44172075.0,38121653.04
2020-01-31,BGSF,20.12,-0.080859,10242.0,206069.04,224197.38
2020-02-28,BGSF,15.42,-0.218688,10242.0,157931.63999999998,206069.04
2020-03-31,BGSF,7.48,-0.514916,10309.0,77111.32,157931.63999999998
2020-04-30,BGSF,12.15,0.624331,10309.0,125254.35,77111.32
2020-05-29,BGSF,10.44,-0.136626,10307.0,107605.08,125254.35
2020-06-30,BGSF,11.32,0.084291,10307.0,116675.24,107605.08
2020-07-31,BGSF,9.08,-0.19788,10307.0,93587.56,116675.24
2020-08-31,BGSF,9.38,0.038546,10307.0,96679.66,93587.56
2020-09-30,BGSF,8.47,-0.097015,10317.0,87384.99,96679.66
2020-10-30,BGSF,7.97,-0.059032,10317.0,82226.48999999999,87384.99
2020-11-30,BGSF,12.75,0.612296,10317.0,131541.75,82226.48999999999
2020-12-31,BGSF,13.49,0.058039,10317.0,139176.33000000002,131541.75
2021-01-29,BGSF,12.62,-0.064492,10317.0,130200.54,139176.33000000002
2021-02-26,BGSF,13.94,0.11252,10317.0,143818.97999999998,130200.54
2021-03-31,BGSF,14.0,0.004304,10336.0,144704.0,143818.97999999998
2021-04-30,BGSF,14.01,0.000714,10336.0,144807.36,144704.0
2021-05-28,BGSF,11.87,-0.14561,10336.0,122688.32,144807.36
2021-06-30,BGSF,12.34,0.039596,10336.0,127546.24,122688.32
2021-07-30,BGSF,12.62,0.02269,10336.0,130440.32,127546.24
2021-08-31,BGSF,13.14,0.050713,10343.0,135907.02000000002,130440.32
2021-09-30,BGSF,12.79,-0.026636,10343.0,132286.97,135907.02000000002
2021-10-29,BGSF,12.03,-0.059421,10401.0,125124.03,132286.97
2021-11-30,BGSF,14.0,0.173732,10404.0,145656.0,125124.03
2021-12-31,BGSF,14.35,0.025,10404.0,149297.4,145656.0
2020-01-31,AXSM,86.82,-0.160023,36933.0,3206523.06,3817394.88
2020-02-28,AXSM,78.0,-0.101589,36933.0,2880774.0,3206523.06
2020-03-31,AXSM,58.83,-0.245769,37075.0,2181122.25,2880774.0
2020-04-30,AXSM,95.03,0.615332,37075.0,3523237.25,2181122.25
2020-05-29,AXSM,76.98,-0.18994,37076.0,2854110.48,3523237.25
2020-06-30,AXSM,82.28,0.068849,37268.0,3066411.04,2854110.48
2020-07-31,AXSM,71.33,-0.133082,37268.0,2658326.44,3066411.04
2020-08-31,AXSM,73.31,0.027758,37268.0,2732117.08,2658326.44
2020-09-30,AXSM,71.25,-0.0281,37344.0,2660760.0,2732117.08
2020-10-30,AXSM,66.31,-0.069333,37344.0,2476280.64,2660760.0
