return_date,long,short,long_short
2024-11-14,-0.002252105871084742,-0.002000717609913359,-0.0002513882611713831
2024-11-15,-0.0014426764823223287,-0.0019804771074792204,0.0005378006251568917
2024-11-18,0.00452566857735423,0.007127475943231482,-0.0026018073658772524
2024-11-19,0.0022358238574808316,0.0020364169755204796,0.00019940688196035204
2024-11-20,-0.0005525016751536317,0.0022359105939153993,-0.002788412269069031
2024-11-21,0.0022253654151405213,0.005765167756708052,-0.0035398023415675306
2024-11-22,0.0025758915505676204,0.006209518294190654,-0.003633626743623034
2024-11-25,0.0001952110822099025,0.007008367297319898,-0.006813156215109995
2024-11-26,5.862976045906965e-05,0.002940812209950553,-0.0028821824494914836
2024-11-27,-0.0002977256443296783,-0.0001900816690232496,-0.0001076439753064287
2024-11-29,0.002562881423498547,0.002022452241642867,0.0005404291818556801
